=== QR filter pipeline, PS vs PL v0.7 ===
modules 25 x 25, scale 14 px, origin 145/65
CSV noise,run,us_sw,us_hw,us_hw_cached, err_raw,err_sw,err_hw,modules,diff_strict,diff_total
untouched: 0 of 307200
CSV 0,0,11413,871,1346,0,0,0,625,0,0
CSV 0,1,11415,871,1346,0,0,0,625,0,0
CSV 0,2,11419,871,1346,0,0,0,625,0,0
CSV 0,3,11414,871,1346,0,0,0,625,0,0
CSV 0,4,11415,871,1346,0,0,0,625,0,0
CSV 0,5,11415,871,1346,0,0,0,625,0,0
CSV 0,6,11415,871,1346,0,0,0,625,0,0
CSV 0,7,11414,871,1346,0,0,0,625,0,0
CSV 0,8,11416,871,1346,0,0,0,625,0,0
CSV 0,9,11415,871,1346,0,0,0,625,0,0
CSV 5,0,11414,871,1346,21,0,0,625,0,3
CSV 5,1,11413,871,1346,9,0,0,625,0,4
CSV 5,2,11414,871,1346,14,0,0,625,0,0
CSV 5,3,11415,871,1346,13,0,0,625,0,3
CSV 5,4,11413,871,1347,19,0,0,625,0,0
CSV 5,5,11413,871,1346,19,0,0,625,0,4
CSV 5,6,11414,871,1347,23,0,0,625,0,14
CSV 5,7,11414,871,1347,11,0,0,625,0,0
CSV 5,8,11417,871,1346,19,0,0,625,0,0
CSV 5,9,11417,871,1346,17,0,0,625,0,6
CSV 10,0,11413,871,1347,36,0,0,625,0,12
CSV 10,1,11413,871,1347,31,0,0,625,0,31
CSV 10,2,11412,871,1347,27,0,0,625,0,18
CSV 10,3,11413,871,1346,32,0,0,625,0,26
CSV 10,4,11413,871,1346,41,0,0,625,0,9
CSV 10,5,11412,871,1347,29,0,0,625,0,16
CSV 10,6,11412,871,1347,33,0,0,625,0,13
CSV 10,7,11412,871,1346,31,0,0,625,0,0
CSV 10,8,11413,871,1346,26,0,0,625,0,6
CSV 10,9,11413,871,1346,34,0,0,625,0,26
CSV 20,0,11413,871,1346,65,0,0,625,0,778
CSV 20,1,11412,871,1346,51,0,0,625,0,72
CSV 20,2,11416,871,1347,61,0,0,625,0,104
CSV 20,3,11412,871,1347,74,1,1,625,0,76
CSV 20,4,11416,871,1347,60,0,0,625,0,44
CSV 20,5,11413,871,1347,71,0,0,625,0,80
CSV 20,6,11413,871,1346,70,0,0,625,0,103
CSV 20,7,11417,871,1347,70,0,0,625,0,98
CSV 20,8,11413,871,1347,65,0,0,625,0,45
CSV 20,9,11413,871,1347,62,0,0,625,0,74
CSV 30,0,11413,871,1347,105,1,1,625,0,235
CSV 30,1,11416,871,1347,102,1,1,625,0,293
CSV 30,2,11413,871,1347,88,0,0,625,0,213
CSV 30,3,11413,871,1347,84,2,2,625,0,260
CSV 30,4,11413,871,1346,97,0,0,625,0,259
CSV 30,5,11412,871,1347,101,3,3,625,0,286
CSV 30,6,11413,871,1347,107,3,3,625,0,188
CSV 30,7,11413,871,1347,88,2,2,625,0,1022
CSV 30,8,11412,871,1347,107,2,2,625,0,209
CSV 30,9,11412,871,1347,105,0,0,625,0,207
CSV 35,0,11413,871,1347,115,2,2,625,0,277
CSV 35,1,11412,871,1347,112,1,1,625,0,331
CSV 35,2,11412,871,1347,103,5,5,625,0,314
CSV 35,3,11412,871,1347,117,2,2,625,0,343
CSV 35,4,11412,871,1347,92,0,0,625,0,345
CSV 35,5,11412,871,1347,108,1,1,625,0,262
CSV 35,6,11416,871,1347,117,2,2,625,0,304
CSV 35,7,11412,871,1346,104,1,1,625,0,279
CSV 35,8,11417,871,1347,126,1,1,625,0,214
CSV 35,9,11412,871,1347,117,1,1,625,0,397
CSV 40,0,11412,871,1347,129,5,5,625,0,402
CSV 40,1,11412,871,1347,143,1,1,625,0,338
CSV 40,2,11411,871,1347,124,3,3,625,0,436
CSV 40,3,11411,871,1347,108,4,4,625,0,1222
CSV 40,4,11412,871,1347,133,0,0,625,0,1226
CSV 40,5,11411,871,1347,131,6,6,625,0,368
CSV 40,6,11412,871,1347,130,6,6,625,0,387
CSV 40,7,11412,871,1347,112,3,3,625,0,403
CSV 40,8,11412,871,1347,112,5,5,625,0,518
CSV 40,9,11411,871,1347,134,7,7,625,0,357
CSV 45,0,11412,871,1347,145,8,8,625,0,558
CSV 45,1,11412,871,1347,149,12,12,625,0,575
CSV 45,2,11412,871,1347,140,5,5,625,0,467
CSV 45,3,11412,871,1347,159,15,15,625,0,595
CSV 45,4,11412,871,1347,118,6,6,625,0,1323
CSV 45,5,11413,871,1347,142,10,10,625,0,1251
CSV 45,6,11412,871,1346,148,12,12,625,0,451
CSV 45,7,11413,871,1347,115,6,6,625,0,550
CSV 45,8,11412,871,1347,152,13,13,625,0,513
CSV 45,9,11413,871,1347,142,4,4,625,0,431
CSV 50,0,11416,871,1347,149,9,9,625,0,1356
CSV 50,1,11412,871,1347,164,12,12,625,0,1452
CSV 50,2,11412,871,1346,170,15,15,625,0,649
CSV 50,3,11412,871,1347,167,21,21,625,0,680
CSV 50,4,11412,871,1347,166,22,22,625,0,1422
CSV 50,5,11416,871,1347,169,21,21,625,0,702
CSV 50,6,11411,871,1347,176,19,19,625,0,1354
CSV 50,7,11415,871,1347,151,16,16,625,0,614
CSV 50,8,11416,871,1347,150,13,13,625,0,1411
CSV 50,9,11412,871,1347,169,10,10,625,0,740
=== done ===
